a1 啊 阿 腌 锕 
a1#ba4 阿爸 
a1#bo1#luo2 阿波罗 
a1#bu4#zha1#bi3 阿布扎比 
a1#cheng2 阿城 
a1#er3#ba1#ni2#ya4 阿尔巴尼亚 
a1#er3#bei1#si1#shan1 阿尔卑斯山 
a1#er3#ji2#li4#ya4 阿尔及利亚 
a1#fa5 α 
a1#fang1 阿方 
a1#fu4#han4 阿富汗 
a1#gen1#ting2 阿根廷 
a1#hong1 阿訇 
a1#ke4#su1 阿克苏 
a1#la1#bo2 阿拉伯 
a1#la1#bo2#ren2 阿拉伯人 
a1#la1#bo2#yu3 阿拉伯语 
a1#la1#fa3#te4 阿拉法特 
a1#la1#mu4#tu2 阿拉木图 
a1#la1#shan4 阿拉善 
a1#la1#si1#jia1 阿拉斯加 
a1#le4#tai4 阿勒泰 
a1#li3 阿里 
a1#li3#shan1 阿里山 
a1#lian2#qiu2 阿联酋 
a1#ma1 阿妈 
a1#man4 阿曼 
a1#meng2 阿盟 
a1#po2 阿婆 
a1#sai4#bai4#jiang1 阿塞拜疆 
a1#shi2#ha1#ba1#de2 阿什哈巴德 
a1#si1#pi3#lin2 阿斯匹林 
a1#wei2#lan2#re4 阿维兰热 
a1#yi2 阿姨 
a2 啊 嗄 
a4 啊 阿 
a5 啊 
ai1 埃 挨 哎 唉 哀 嗳 
ai1#dao4 哀悼 
ai1#ge4 挨个 
ai1#ji2 埃及 
ai1#ji2#ren2 埃及人 
ai1#jia1#ai1#hu4 挨家挨户 
ai1#qiu2 哀求 
ai1#sai4#e2#bi3#ya4 埃塞俄比亚 
ai1#si1 哀思 
ai1#tan4 哀叹 
ai1#tong4 哀痛 
ai1#yue4 哀乐 
ai1#zai3 挨宰 
ai1#zhe5 挨着 
ai2 Ｉ 挨 皑 癌 捱 
ai2#ai2 皑皑 
ai2#ban3 呆板 
ai2#bian4 癌变 
ai2#bing4 癌病 
ai2#da3 挨打 
ai2#e4 挨饿 
ai2#ma4 挨骂 
ai2#xi4#bao1 癌细胞 
ai2#zheng4 癌症 
ai3 蔼 矮 嗳 霭 
ai3#hua4 矮化 
ai3#xiao3 矮小 
ai4 唉 艾 碍 爱 隘 嗳 嗌 嫒 瑷 暧 
ai4#bu2#shi4#shou3 爱不释手 
ai4#chi1 爱吃 
ai4#dai4 爱戴 
ai4#di2#sheng1 爱迪生 
ai4#ding1#bao3 爱丁堡 
ai4#er3#lan2 爱尔兰 
ai4#gang3 爱港 
ai4#guo2 爱国 
ai4#guo2#ren2#shi4 爱国人士 
ai4#guo2#xin1 爱国心 
ai4#guo2#zhe3 爱国者 
ai4#guo2#zhu3#yi4 爱国主义 
ai4#hao4 爱好 
ai4#hao4#zhe3 爱好者 
ai4#hu4 爱护 
ai4#hua1 爱花 
ai4#jiao1 爱教 
ai4#kan4 爱看 
ai4#mei3 爱美 
ai4#mei4 暧昧 
ai4#min2 爱民 
ai4#mu4 爱慕 
ai4#qi1 爱妻 
ai4#qing1 艾青 
ai4#qing2 爱情 
ai4#ren2 爱人 
ai4#sha1#ni2#ya4 爱沙尼亚 
ai4#shang4 爱上 
ai4#xi1 爱惜 
ai4#xiang1 爱乡 
ai4#xin1 爱心 
ai4#yi4 爱意 
ai4#yin1#si1#tan3 爱因斯坦 
ai4#yu2 碍于 
ai4#yue4 爱乐 
ai4#zi1#bing4 艾滋病 
ai4#zi1#bing4#du2 艾滋病毒 
ai4#zi3 爱子 
ai5 挨 
an1 鞍 氨 安 厂 广 谙 庵 桉 鹌 
an1#chun2 鹌鹑 
an1#da2 安达 
an1#ding4 安定 
an1#ding4#tuan2#jie2 安定团结 
an1#du4 安度 
an1#dun4 安顿 
an1#duo1 安多 
an1#fang4 安放 
an1#fu3 安抚 
an1#gang1 鞍钢 
an1#ge1#la1 安哥拉 
an1#guo2 安国 
an1#hui1 安徽 
an1#ji1#suan1 氨基酸 
an1#jia1 安家 
an1#jia1#luo4#hu4 安家落户 
an1#jian3 安检 
an1#jing4 安静 
an1#ju1 安居 
an1#ju1#le4#ye4 安居乐业 
an1#ka3#la1 安卡拉 
an1#kang1 安康 
an1#le4 安乐 
an1#le4#si3 安乐死 
an1#li3#hui4 安理会 
an1#ma3 鞍马 
an1#man4 安曼 
an1#meng2 安盟 
an1#mian2#yao4 安眠药 
an1#min2 安民 
an1#nan2 安南 
an1#ning2 安宁 
an1#pai2 安排 
an1#ping2 安平 
an1#qing4 安庆 
an1#qiu1 安丘 
an1#quan2 安全 
an1#quan2#dai4 安全带 
an1#quan2#fa3 安全法 
an1#quan2#gan3 安全感 
an1#quan2#mao4 安全帽 
an1#quan2#men2 安全门 
an1#quan2#qu1 安全区 
an1#quan2#wang3 安全网 
an1#quan2#xi4#shu4 安全系数 
an1#quan2#xing4 安全性 
an1#ran2 安然 
an1#ran2#wu2#yang4 安然无恙 
an1#shan1 鞍山 
an1#shang4 安上 
an1#shen1 安身 
an1#shen2 安神 
an1#sheng1 安生 
an1#shun4 安顺 
an1#tu2#sheng1 安徒生 
an1#wei1 安危 
an1#wei4 安慰 
an1#wen3 安稳 
an1#xi1 安西 安息 安溪 
an1#xian4 安县 
an1#xiang2 安详 
an1#xin1 安心 
an1#yang2 安阳 
an1#yi4 安逸 
an1#yu2 安于 
an1#yu2#xian4#zhuang4 安于现状 
an1#yuan2 安源 
an1#zai4 安在 
an1#zang4 安葬 
an1#zhi4 安置 
an1#zhuang1 安装 
an1#zi3#jie4 安子介 
an3 俺 埯 铵 
an3#cun1 俺村 
an3#jia1 俺家 
an3#men5 俺们 
an4 按 暗 岸 胺 案 黯 
an4#an4 暗暗 
an4#bian1 岸边 
an4#bing1#bu2#dong4 按兵不动 
an4#bu4#jiu4#ban1 按部就班 
an4#chu4 暗处 
an4#dan4 暗淡 黯淡 
an4#di4#li5 暗地里 
an4#dong4 按动 
an4#fa1 案发 
an4#fang3 暗访 
an4#gui1#ding4 按规定 
an4#jian4 按键 案件 
an4#jiao1 暗礁 
an4#jie1 按揭 
an4#juan4 案卷 
an4#lao2#fen1#pei4 按劳分配 
an4#li3 按理 
an4#li3#shuo1 按理说 
an4#li4 案例 
an4#liu2 暗流 
an4#mo2 按摩 
an4#na4 按捺 
an4#niu3 按钮 
an4#qi1 按期 
an4#qing2 案情 
an4#ran2 黯然 
an4#ran2#shi1#se4 黯然失色 
an4#ri4 按日 
an4#sha1 暗杀 
an4#shang4 岸上 
an4#shi2 按时 
an4#shi4 暗示 
an4#shuo1 按说 
an4#tou2 案头 
an4#tu2#suo3#ji4 按图索骥 
an4#xia4 按下 暗下 
an4#xian4 岸线 
an4#yue4 按月 
an4#zhao4 按照 
an4#zhi2 案值 
an4#zhong1 暗中 
an4#zi4 暗自 
an4#zi5 案子 
ang1 肮 
ang1#zang1 肮脏 
ang2 昂 
ang2#gui4 昂贵 
ang2#li4 昂立 
ang2#ran2 昂然 
ang2#shou3 昂首 
ang2#shou3#kuo4#bu4 昂首阔步 
ang2#yang2 昂扬 
ang4 盎 
ang4#ran2 盎然 
ang4#si1 盎司 
ang5 肮 
ao1 凹 熬 
ao1#tu1 凹凸 
ao1#xian4 凹陷 
ao2 敖 熬 翱 嚣 嗷 遨 獒 聱 螯 鳌 鏖 
ao2#guo4 熬过 
ao2#xiang2 翱翔 
ao2#you2 遨游 
ao2#zhan4 鏖战 
ao3 袄 拗 媪 
ao4 傲 奥 懊 澳 坳 拗 岙 骜 鏊 
ao4#da4#li4#ya4 澳大利亚 
ao4#di2 奥迪 
ao4#di4#li4 奥地利 
ao4#hui3 懊悔 
ao4#lan2 奥兰 
ao4#lin2#pi3#ke4 奥林匹克 
ao4#lin2#pi3#ke4#yun4#dong4#hui4 奥林匹克运动会 
ao4#man4 傲慢 
ao4#men2 澳门 
ao4#mi4 奥秘 
ao4#miao4 奥妙 
ao4#ran2 傲然 
ao4#shen1#wei3 奥申委 
ao4#shi4 傲视 
ao4#si1#lu4 奥斯陆 
ao4#si1#ting1 奥斯汀 
ao4#wei3#hui4 奥委会 
ao4#yuan2 澳元 
ao4#yun4 奥运 
ao4#yun4#hui4 奥运会 
ao4#zhou1 澳洲 
ao5 坳 
ba1 ８ 芭 捌 扒 叭 吧 笆 八 疤 巴 岜 粑 
ba1#bao3#shan1 八宝山 
ba1#bi3#lun2 巴比伦 
ba1#cheng2 八成 
ba1#da2#ling3 八达岭 
ba1#da4#chu4 八大处 
ba1#dian3 ８点 
ba1#dun4 巴顿 
ba1#er3#gan4 巴尔干 
ba1#er3#gan4#ban4#dao3 巴尔干半岛 
ba1#er3#zha1#ke4 巴尔扎克 
ba1#fa2#li4#ya4 巴伐利亚 
ba1#fang1 八方 
ba1#fang1#zhi1#yuan2 八方支援 
ba1#ge2#da2 巴格达 
ba1#guo2#lian2#jun1 八国联军 
ba1#he4 巴赫 
ba1#hen2 疤痕 
ba1#ji1#si1#tan3 巴基斯坦 
ba1#jiao1 芭蕉 
ba1#jiao3 八角 
ba1#jie3 巴解 
ba1#jie3#zu3#zhi1 巴解组织 
ba1#jin1 巴金 
ba1#ku4 巴库 
ba1#la1#gui1 巴拉圭 
ba1#le4#si1#tan3 巴勒斯坦 
ba1#lei3 芭蕾 
ba1#lei3#wu3 芭蕾舞 
ba1#lei3#wu3#tuan2 芭蕾舞团 
ba1#li2 巴黎 
ba1#lin2 巴林 
ba1#ling2#nian2#dai4 ８０年代 
ba1#lu4 八路 
ba1#lu4#jun1 八路军 
ba1#na2#ma3 巴拿马 
ba1#qie4 扒窃 
ba1#ren2 巴人 
ba1#ri4 ８日 
ba1#sai4#luo2#na4 巴塞罗那 
ba1#shi4 巴士 
ba1#shu3 巴蜀 
ba1#si1 巴士 
ba1#si4 巴士 
ba1#xi1 巴西 
ba1#xian1 八仙 
ba1#xian1#guo4#hai3 八仙过海 
ba1#yan4#nao4#er3#meng2 巴彦淖尔盟 
ba1#yin1#guo1#leng2 巴音郭楞 
ba1#yue4 ８月 八月 
ba1#yue4#fen4 八月份 
ba1#zhang5 巴掌 
ba1#zhong1 巴中 
ba1#zi4 八字 
ba2 拔 跋 魃 
ba2#chu1 拔出 
ba2#di4#er2#qi3 拔地而起 
ba2#diao4 拔掉 
ba2#gao1 拔高 
ba2#gua4 八卦 
ba2#he2 拔河 
ba2#jian1 拔尖 
ba2#qi3 拔起 
ba2#she4 跋涉 
ba3 靶 把 钯 
ba3#chang3 靶场 
ba3#chi2 把持 
ba3#guan1 把关 
ba3#jiu3 把酒 
ba3#men2 把门 
ba3#shi5 把式 
ba3#shou3 把手 把守 
ba3#tou2 把头 
ba3#wo4 把握 
ba3#xi4 把戏 
ba3#zhu4 把住 
ba4 把 耙 坝 霸 罢 爸 灞 鲅 
ba4#ba5 爸爸 
ba4#dao4 霸道 
ba4#gong1 罢工 
ba4#le5 罢了 
ba4#ma1 爸妈 
ba4#mian3 罢免 
ba4#qu1 坝区 
ba4#quan2 霸权 
ba4#quan2#zhu3#yi4 霸权主义 
ba4#shang4 坝上 
ba4#wang2 霸王 
ba4#xiu1 罢休 
ba4#zhan4 霸占 
ba4#zhi3 坝址 
ba4#zhu3 霸主 
ba5 扒 叭 吧 笆 八 巴 拔 爸 粑 
bai1 掰 
bai2 白 
bai2#bai2 白白 
bai2#cai4 白菜 
bai2#chi1 白吃 
bai2#di4#cheng2 白帝城 
bai2#e2#luo2#si1 白俄罗斯 
bai2#fa4 白发 
bai2#fei4 白费 
bai2#gan4 白干 
bai2#ge1 白鸽 
bai2#gong1 白宫 
bai2#gou1 白沟 
bai2#gu3 白骨 
bai2#guo3 白果 
bai2#he2 白河 
bai2#hua1 白花 
bai2#hua1#hua1 白花花 
bai2#hua4 白话 白桦 
bai2#hui1 白灰 
bai2#jin1 白金 
bai2#jiu3 白酒 
bai2#kai1#shui3 白开水 
bai2#lang4 白浪 
bai2#li4#chen2 白立忱 
bai2#lian2 白莲 
bai2#ling3 白领 
bai2#liu2 白流 
bai2#lu4 白鹭 
bai2#ma3 白马 
bai2#mang2#mang2 白茫茫 
bai2#mao2 白毛 
bai2#mian4 白面 
bai2#nei4#zhang4 白内障 
bai2#pi2#shu1 白皮书 
bai2#pu2#tao2#jiu3 白葡萄酒 
bai2#qi2 白棋 
bai2#qiu2#en1 白求恩 
bai2#re4#hua4 白热化 
bai2#ren2 白人 
bai2#ri4 白日 
bai2#se4 白色 
bai2#se4#kong3#bu4 白色恐怖 
bai2#sha1 白沙 
bai2#she2#zhuan4 白蛇传 
bai2#shou3#qi3#jia1 白手起家 
bai2#shui3 白水 
bai2#ta3 白塔 
bai2#tang2 白糖 
bai2#tian1 白天 
bai2#tiao2 白条 
bai2#tou2 白头 
bai2#tu4 白兔 
bai2#xue3 白雪 
bai2#xue3#ai2#ai2 白雪皑皑 
bai2#xue4#bing4 白血病 
bai2#yan3 白眼 
bai2#yang2 白杨 
bai2#yang2#dian4 白洋淀 
bai2#yao4 白药 
bai2#yi1 白衣 
bai2#yi1#tian1#shi3 白衣天使 
bai2#yi3 白蚁 
bai2#yin2 白银 
bai2#yu4 白玉 
bai2#yun2 白云 
bai2#yun2#shan1 白云山 
bai2#zhi3 白纸 
bai2#zhi3#hei1#zi4 白纸黑字 
bai2#zhou4 白昼 
bai2#zi4 白字 
bai2#zu2 白族 
bai3 柏 百 摆 佰 伯 捭 
bai3#bai3 摆摆 
bai3#ban1 百般 
bai3#bei4 百倍 
bai3#bu4 摆布 
bai3#cao3 百草 
bai3#chu1 摆出 
bai3#di4#tan1 摆地摊 
bai3#dong4 摆动 
bai3#du4 摆渡 
bai3#fang4 摆放 
bai3#fei4#dai4#xing1 百废待兴 
bai3#fen1 ％ 百分 
bai3#fen1#bi3 百分比 
bai3#fen1#dian3 百分点 
bai3#fen1#zhi1 百分之 
