a 啊 阿 嗄 腌 锕 
a#ba 阿爸 
a#bo#luo 阿波罗 
a#bu#zha#bi 阿布扎比 
a#cheng 阿城 
a#er#ba#ni#ya 阿尔巴尼亚 
a#er#bei#si#shan 阿尔卑斯山 
a#er#ji#li#ya 阿尔及利亚 
a#fa α 
a#fang 阿方 
a#fu#han 阿富汗 
a#gen#ting 阿根廷 
a#hong 阿訇 
a#ke#su 阿克苏 
a#la#bo 阿拉伯 
a#la#bo#ren 阿拉伯人 
a#la#bo#yu 阿拉伯语 
a#la#fa#te 阿拉法特 
a#la#mu#tu 阿拉木图 
a#la#shan 阿拉善 
a#la#si#jia 阿拉斯加 
a#le#tai 阿勒泰 
a#li 阿里 
a#li#shan 阿里山 
a#lian#qiu 阿联酋 
a#ma 阿妈 
a#man 阿曼 
a#meng 阿盟 
a#po 阿婆 
a#sai#bai#jiang 阿塞拜疆 
a#shi#ha#ba#de 阿什哈巴德 
a#si#pi#lin 阿斯匹林 
a#wei#lan#re 阿维兰热 
a#yi 阿姨 
ai Ｉ 埃 挨 哎 唉 哀 皑 癌 蔼 矮 艾 碍 爱 隘 捱 嗳 嗌 嫒 瑷 暧 霭 
ai#ai 皑皑 
ai#ban 呆板 
ai#bian 癌变 
ai#bing 癌病 
ai#bu#shi#shou 爱不释手 
ai#chi 爱吃 
ai#da 挨打 
ai#dai 爱戴 
ai#dao 哀悼 
ai#di#sheng 爱迪生 
ai#ding#bao 爱丁堡 
ai#e 挨饿 
ai#er#lan 爱尔兰 
ai#gang 爱港 
ai#ge 挨个 
ai#guo 爱国 
ai#guo#ren#shi 爱国人士 
ai#guo#xin 爱国心 
ai#guo#zhe 爱国者 
ai#guo#zhu#yi 爱国主义 
ai#hao 爱好 
ai#hao#zhe 爱好者 
ai#hu 爱护 
ai#hua 矮化 爱花 
ai#ji 埃及 
ai#ji#ren 埃及人 
ai#jia#ai#hu 挨家挨户 
ai#jiao 爱教 
ai#kan 爱看 
ai#ma 挨骂 
ai#mei 爱美 暧昧 
ai#min 爱民 
ai#mu 爱慕 
ai#qi 爱妻 
ai#qing 艾青 爱情 
ai#qiu 哀求 
ai#ren 爱人 
ai#sai#e#bi#ya 埃塞俄比亚 
ai#sha#ni#ya 爱沙尼亚 
ai#shang 爱上 
ai#si 哀思 
ai#tan 哀叹 
ai#tong 哀痛 
ai#xi 爱惜 
ai#xi#bao 癌细胞 
ai#xiang 爱乡 
ai#xiao 矮小 
ai#xin 爱心 
ai#yi 爱意 
ai#yin#si#tan 爱因斯坦 
ai#yu 碍于 
ai#yue 哀乐 爱乐 
ai#zai 挨宰 
ai#zhe 挨着 
ai#zheng 癌症 
ai#zi 爱子 
ai#zi#bing 艾滋病 
ai#zi#bing#du 艾滋病毒 
an 鞍 氨 安 俺 按 暗 岸 胺 案 厂 广 谙 埯 庵 桉 铵 鹌 黯 
an#an 暗暗 
an#bian 岸边 
an#bing#bu#dong 按兵不动 
an#bu#jiu#ban 按部就班 
an#chu 暗处 
an#chun 鹌鹑 
an#cun 俺村 
an#da 安达 
an#dan 暗淡 黯淡 
an#di#li 暗地里 
an#ding 安定 
an#ding#tuan#jie 安定团结 
an#dong 按动 
an#du 安度 
an#dun 安顿 
an#duo 安多 
an#fa 案发 
an#fang 安放 暗访 
an#fu 安抚 
an#gang 鞍钢 
an#ge#la 安哥拉 
an#gui#ding 按规定 
an#guo 安国 
an#hui 安徽 
an#ji#suan 氨基酸 
an#jia 安家 俺家 
an#jia#luo#hu 安家落户 
an#jian 安检 按键 案件 
an#jiao 暗礁 
an#jie 按揭 
an#jing 安静 
an#ju 安居 
an#ju#le#ye 安居乐业 
an#juan 案卷 
an#ka#la 安卡拉 
an#kang 安康 
an#lao#fen#pei 按劳分配 
an#le 安乐 
an#le#si 安乐死 
an#li 按理 案例 
an#li#hui 安理会 
an#li#shuo 按理说 
an#liu 暗流 
an#ma 鞍马 
an#man 安曼 
an#men 俺们 
an#meng 安盟 
an#mian#yao 安眠药 
an#min 安民 
an#mo 按摩 
an#na 按捺 
an#nan 安南 
an#ning 安宁 
an#niu 按钮 
an#pai 安排 
an#ping 安平 
an#qi 按期 
an#qing 安庆 案情 
an#qiu 安丘 
an#quan 安全 
an#quan#dai 安全带 
an#quan#fa 安全法 
an#quan#gan 安全感 
an#quan#mao 安全帽 
an#quan#men 安全门 
an#quan#qu 安全区 
an#quan#wang 安全网 
an#quan#xi#shu 安全系数 
an#quan#xing 安全性 
an#ran 安然 黯然 
an#ran#shi#se 黯然失色 
an#ran#wu#yang 安然无恙 
an#ri 按日 
an#sha 暗杀 
an#shan 鞍山 
an#shang 安上 岸上 
an#shen 安身 安神 
an#sheng 安生 
an#shi 按时 暗示 
an#shun 安顺 
an#shuo 按说 
an#tou 案头 
an#tu#sheng 安徒生 
an#tu#suo#ji 按图索骥 
an#wei 安危 安慰 
an#wen 安稳 
an#xi 安西 安息 安溪 
an#xia 按下 暗下 
an#xian 安县 岸线 
an#xiang 安详 
an#xin 安心 
an#yang 安阳 
an#yi 安逸 
an#yu 安于 
an#yu#xian#zhuang 安于现状 
an#yuan 安源 
an#yue 按月 
an#zai 安在 
an#zang 安葬 
an#zhao 按照 
an#zhi 安置 案值 
an#zhong 暗中 
an#zhuang 安装 
an#zi 暗自 案子 
an#zi#jie 安子介 
ang 肮 昂 盎 
ang#gui 昂贵 
ang#li 昂立 
ang#ran 昂然 盎然 
ang#shou 昂首 
ang#shou#kuo#bu 昂首阔步 
ang#si 盎司 
ang#yang 昂扬 
ang#zang 肮脏 
ao 凹 敖 熬 翱 袄 傲 奥 懊 澳 嚣 坳 拗 嗷 岙 遨 媪 骜 獒 聱 螯 鏊 鳌 鏖 
ao#da#li#ya 澳大利亚 
ao#di 奥迪 
ao#di#li 奥地利 
ao#guo 熬过 
ao#hui 懊悔 
ao#lan 奥兰 
ao#lin#pi#ke 奥林匹克 
ao#lin#pi#ke#yun#dong#hui 奥林匹克运动会 
ao#man 傲慢 
ao#men 澳门 
ao#mi 奥秘 
ao#miao 奥妙 
ao#ran 傲然 
ao#shen#wei 奥申委 
ao#shi 傲视 
ao#si#lu 奥斯陆 
ao#si#ting 奥斯汀 
ao#tu 凹凸 
ao#wei#hui 奥委会 
ao#xian 凹陷 
ao#xiang 翱翔 
ao#you 遨游 
ao#yuan 澳元 
ao#yun 奥运 
ao#yun#hui 奥运会 
ao#zhan 鏖战 
ao#zhou 澳洲 
ba ８ 芭 捌 扒 叭 吧 笆 八 疤 巴 拔 跋 靶 把 耙 坝 霸 罢 爸 岜 灞 钯 粑 鲅 魃 
ba#ba 爸爸 
ba#bao#shan 八宝山 
ba#bi#lun 巴比伦 
ba#chang 靶场 
ba#cheng 八成 
ba#chi 把持 
ba#chu 拔出 
ba#da#chu 八大处 
ba#da#ling 八达岭 
ba#dao 霸道 
ba#di#er#qi 拔地而起 
ba#dian ８点 
ba#diao 拔掉 
ba#dun 巴顿 
ba#er#gan 巴尔干 
ba#er#gan#ban#dao 巴尔干半岛 
ba#er#zha#ke 巴尔扎克 
ba#fa#li#ya 巴伐利亚 
ba#fang 八方 
ba#fang#zhi#yuan 八方支援 
ba#gao 拔高 
ba#ge#da 巴格达 
ba#gong 罢工 
ba#gua 八卦 
ba#guan 把关 
ba#guo#lian#jun 八国联军 
ba#he 巴赫 拔河 
ba#hen 疤痕 
ba#ji#si#tan 巴基斯坦 
ba#jian 拔尖 
ba#jiao 芭蕉 八角 
ba#jie 巴解 
ba#jie#zu#zhi 巴解组织 
ba#jin 巴金 
ba#jiu 把酒 
ba#ku 巴库 
ba#la#gui 巴拉圭 
ba#le 罢了 
ba#le#si#tan 巴勒斯坦 
ba#lei 芭蕾 
ba#lei#wu 芭蕾舞 
ba#lei#wu#tuan 芭蕾舞团 
ba#li 巴黎 
ba#lin 巴林 
ba#ling#nian#dai ８０年代 
ba#lu 八路 
ba#lu#jun 八路军 
ba#ma 爸妈 
ba#men 把门 
ba#mian 罢免 
ba#na#ma 巴拿马 
ba#qi 拔起 
ba#qie 扒窃 
ba#qu 坝区 
ba#quan 霸权 
ba#quan#zhu#yi 霸权主义 
ba#ren 巴人 
ba#ri ８日 
ba#sai#luo#na 巴塞罗那 
ba#shang 坝上 
ba#she 跋涉 
ba#shi 巴士 把式 
ba#shou 把手 把守 
ba#shu 巴蜀 
ba#si 巴士 
ba#tou 把头 
ba#wang 霸王 
ba#wo 把握 
ba#xi 巴西 把戏 
ba#xian 八仙 
ba#xian#guo#hai 八仙过海 
ba#xiu 罢休 
ba#yan#nao#er#meng 巴彦淖尔盟 
ba#yin#guo#leng 巴音郭楞 
ba#yue ８月 八月 
ba#yue#fen 八月份 
ba#zhan 霸占 
ba#zhang 巴掌 
ba#zhi 坝址 
ba#zhong 巴中 
ba#zhu 把住 霸主 
ba#zi 八字 
bai 白 柏 百 摆 佰 败 拜 稗 伯 捭 呗 掰 
bai#bai 白白 摆摆 拜拜 
bai#ban 百般 
bai#bei 百倍 败北 
bai#bu 摆布 
bai#bu#nei 败不馁 
bai#cai 白菜 
bai#cao 百草 
bai#chi 白吃 
bai#chu 摆出 
bai#di#cheng 白帝城 
bai#di#tan 摆地摊 
bai#dong 摆动 
bai#du 摆渡 
